id,Populations,Pop_Name
1,Baker,Baker
2,Bald Hills,Bald Hills
3,Belt Mountains,Belt Mountains
4,Canada,Canada
5,Carbon,Carbon
6,Central OR,Central OR
7,Crab Creek,Crab Creek
8,Dakotas,Dakotas
9,Eagle-South Routt,Eagle-South Routt
10,East Central,East Central
11,E Tavaputs Plateau,E Tavaputs Plateau
12,Jackson Hole,Jackson Hole
13,Klamath,Klamath
15,Laramie,Laramie
16,Meeker-White River,Meeker-White River
17,Middle Park,Middle Park
18,Moses Coulee,Moses Coulee
19,North Mono Lake,North Mono Lake
20,North Park,North Park
21,"Northern Great Basin (Combination of Box Elder, Great Basin Core, Northern Great Basin)",Northern Great Basin
22,Northern Montana,Northern Montana
23,Northwest Interior,Northwest Interior
24,Panguitch,Panguitch
25,Parachute-Piceance-Roan Basin,Parachute-Piceance-Roan Basin
26,Parker Mountain-Emery,Parker Mountain-Emery
27,Pine Nut,Pine Nut
29,Powder River Basin,Powder River Basin
30,Quinn Canyon Range,Quinn Canyon Range
31,South Mono Lake,South Mono Lake
32,S White River,S White River
33,Sawtooth,Sawtooth
34,Sheeprock,Sheeprock
36,Snake-Salmon-Beaverhead,Snake-Salmon-Beaverhead
37,"Southern Great Basin (Combination of Great Basin Core, Hamlin Valley, Ibapah)",Southern Great Basin
38,Southwest Montana,Southwest Montana
39,Strawberry Valley,Strawberry Valley
41,Warm Springs Valley,Warm Springs Valley
42,Weiser,Weiser
43,Western Great Basin,Western Great Basin
44,White Mountains,White Mountains
45,Wyoming Basin,Wyoming Basin
46,Yakima Indian Nation,Yakima Indian Nation
47,Yakima Training Center,Yakima Training Center
48,Yellowstone Watershed,Yellowstone Watershed
49,Anthro Mountain,Anthro Mountain
50,West Tavaputs,West Tavaputs
51,Box Elder,Box Elder
52,Great Basin Core,Great Basin Core
53,Rich-Summit-Morgan,Rich-Summit-Morgan
54,Uintah,Uintah
55,Hamlin Valley,Hamlin Valley
56,Ibapah,Ibapah
57,NW Colorado,NWCO
